iter	Passed	Remaining
203	547	2134
204	548	2127
205	550	2120
206	552	2114
207	553	2108
208	555	2103
209	557	2095
210	558	2090
211	560	2084
212	562	2079
213	564	2072
214	566	2068
215	568	2063
216	569	2055
217	571	2048
218	573	2043
219	574	2038
220	576	2031
221	578	2026
222	580	2021
223	581	2014
224	582	2007
225	584	2002
226	586	1997
227	588	1993
228	590	1986
229	591	1981
230	593	1974
231	594	1968
232	596	1962
233	597	1956
234	599	1951
235	600	1944
236	602	1939
237	604	1934
238	605	1927
239	607	1922
240	609	1919
241	611	1915
242	613	1911
243	615	1905
244	617	1901
245	619	1897
246	620	1892
247	622	1888
248	624	1884
249	626	1879
250	628	1875
251	630	1872
252	632	1867
253	634	1863
254	636	1858
255	638	1854
256	640	1851
257	642	1846
258	643	1841
259	645	1836
260	647	1834
261	649	1829
262	650	1823
263	652	1818
264	653	1813
265	655	1808
266	656	1803
267	658	1798
268	659	1793
269	661	1788
270	663	1783
271	664	1779
272	665	1773
273	667	1768
274	669	1763
275	671	1760
276	672	1755
277	674	1750
278	675	1746
279	677	1742
280	679	1738
281	681	1735
282	683	1731
283	685	1727
284	687	1723
285	689	1720
286	691	1717
287	693	1714
288	695	1711
289	697	1708
290	700	1705
291	701	1700
292	703	1698
293	705	1695
294	707	1691
295	710	1689
296	712	1686
297	714	1683
298	716	1680
299	718	1676
300	720	1672
301	722	1668
302	723	1664
303	725	1661
304	727	1658
305	729	1653
306	731	1650
307	732	1646
308	735	1644
309	737	1641
310	739	1637
311	741	1634
312	742	1630
313	744	1625
314	745	1621
315	746	1616
316	748	1612
317	749	1608
318	751	1604
319	753	1601
320	754	1596
321	756	1592
322	757	1588
323	759	1584
324	761	1581
325	763	1577
326	764	1573
327	766	1569
328	767	1565
329	768	1560
330	770	1556
331	772	1553
332	773	1549
333	774	1545
334	777	1542
335	778	1538
336	779	1534
337	781	1530
338	783	1527
339	785	1523
340	787	1521
341	789	1518
342	790	1514
343	792	1511
344	794	1508
345	796	1505
346	798	1502
347	800	1500
348	802	1497
349	804	1494
350	806	1490
351	807	1487
352	809	1484
353	811	1481
354	813	1478
355	815	1475
356	817	1473
357	819	1469
358	821	1467
359	823	1463
360	825	1460
361	826	1456
362	828	1453
363	829	1449
364	831	1446
365	832	1442
366	834	1439
367	835	1435
368	837	1432
369	839	1429
370	841	1426
371	842	1422
372	844	1420
373	847	1418
374	849	1416
375	851	1412
376	853	1410
377	855	1407
378	857	1405
379	859	1402
380	861	1400
381	863	1397
382	866	1395
383	867	1392
384	869	1389
385	871	1387
386	874	1384
387	876	1381
388	878	1379
389	880	1377
390	882	1375
391	884	1372
392	887	1370
393	889	1368
394	891	1366
395	893	1363
396	895	1360
397	913	1381
398	915	1378
399	917	1376
400	920	1375
401	922	1372
402	925	1370
403	927	1368
404	930	1367
405	933	1365
406	936	1364
407	938	1362
408	941	1360
409	943	1357
410	945	1355
411	948	1353
412	950	1351
413	952	1348
414	954	1345
415	956	1342
416	957	1339
417	959	1336
418	962	1334
419	964	1331
420	966	1329
421	968	1326
422	970	1324
423	972	1321
424	975	1319
425	977	1317
426	979	1314
427	981	1312
428	984	1310
429	986	1307
430	989	1306
431	991	1303
432	993	1300
433	996	1299
434	999	1297
435	1002	1296
436	1004	1293
437	1006	1291
438	1008	1288
439	1009	1285
440	1011	1282
441	1013	1279
442	1015	1277
443	1018	1274
444	1020	1272
445	1021	1268
446	1023	1266
447	1025	1263
448	1027	1260
449	1029	1258
450	1031	1255
451	1033	1252
452	1035	1250
453	1036	1246
454	1038	1244
455	1041	1242
456	1043	1240
457	1045	1237
458	1047	1235
459	1049	1232
460	1052	1230
461	1054	1228
462	1057	1226
463	1059	1223
464	1061	1220
465	1062	1217
466	1065	1216
467	1068	1214
468	1069	1211
469	1071	1208
470	1073	1206
471	1075	1203
472	1077	1200
473	1079	1197
474	1082	1195
475	1083	1193
476	1085	1190
477	1087	1187
478	1089	1185
479	1090	1181
480	1092	1178
481	1094	1176
482	1096	1173
483	1097	1170
484	1099	1168
485	1101	1164
486	1102	1161
487	1104	1158
488	1105	1155
489	1107	1153
490	1109	1150
491	1110	1147
492	1112	1143
493	1114	1141
494	1116	1138
495	1118	1136
496	1120	1134
497	1122	1131
498	1124	1128
499	1125	1125
500	1128	1123
501	1130	1121
502	1131	1118
503	1133	1115
504	1135	1113
505	1138	1111
506	1139	1108
507	1141	1105
508	1143	1102
509	1145	1100
510	1147	1098
511	1150	1096
512	1152	1093
513	1154	1091
514	1155	1088
515	1158	1086
516	1160	1083
517	1162	1081
518	1164	1079
519	1167	1077
520	1169	1075
521	1171	1072
522	1173	1069
523	1175	1067
524	1177	1065
525	1179	1062
526	1181	1060
527	1182	1057
528	1184	1054
529	1186	1051
530	1188	1049
531	1189	1046
532	1191	1044
533	1194	1042
534	1196	1039
535	1198	1037
536	1200	1035
537	1202	1032
538	1204	1030
539	1206	1027
540	1208	1025
541	1210	1022
542	1212	1020
543	1214	1017
544	1215	1015
545	1217	1012
546	1219	1010
547	1221	1007
548	1224	1005
549	1226	1003
550	1228	1001
551	1230	998
552	1232	996
553	1235	994
554	1237	991
555	1239	989
556	1241	987
557	1242	984
558	1244	982
559	1246	979
560	1249	977
561	1251	975
562	1253	972
563	1255	970
564	1256	967
565	1258	965
566	1260	962
567	1262	960
568	1264	957
569	1265	954
570	1267	952
571	1269	949
572	1271	947
573	1273	944
574	1274	942
575	1276	939
576	1277	936
577	1279	934
578	1281	931
579	1283	929
580	1286	927
581	1287	924
582	1289	922
583	1292	920
584	1294	918
585	1295	915
586	1297	912
587	1299	910
588	1301	908
589	1303	906
590	1306	903
591	1307	901
592	1309	899
593	1311	896
594	1313	894
595	1315	892
596	1317	889
597	1319	886
598	1321	884
599	1323	882
600	1325	879
601	1326	877
602	1329	875
603	1331	872
604	1333	870
605	1336	868
606	1338	866
607	1340	864
608	1342	861
609	1344	859
610	1346	857
611	1349	855
612	1351	852
613	1352	850
614	1355	848
615	1357	846
616	1359	843
617	1361	841
618	1362	838
619	1364	836
620	1366	834
621	1368	831
622	1370	829
623	1372	826
624	1374	824
625	1375	821
626	1377	819
627	1379	816
628	1380	814
629	1382	811
630	1384	809
631	1385	806
632	1387	804
633	1389	801
634	1390	799
635	1392	797
636	1394	794
637	1396	792
638	1397	789
639	1399	787
640	1401	784
641	1402	782
642	1404	779
643	1406	777
644	1407	774
645	1409	772
646	1411	770
647	1412	767
648	1414	764
649	1415	762
650	1416	759
651	1418	756
652	1419	754
653	1420	751
654	1421	748
655	1423	746
656	1424	743
657	1425	741
658	1427	738
659	1428	735
660	1429	733
661	1430	730
662	1432	727
663	1433	725
664	1435	722
665	1436	720
666	1437	717
667	1438	715
668	1440	712
669	1441	710
670	1442	707
671	1443	704
672	1445	702
673	1446	699
674	1448	697
675	1449	694
676	1451	692
677	1452	689
678	1453	687
679	1454	684
680	1455	681
681	1457	679
682	1459	677
683	1460	674
684	1462	672
685	1464	670
686	1465	667
687	1467	665
688	1468	662
689	1470	660
690	1471	658
691	1473	655
692	1474	653
693	1476	650
694	1477	648
695	1478	645
696	1480	643
697	1481	641
698	1483	638
699	1484	636
700	1485	633
701	1486	631
702	1488	628
703	1489	626
704	1491	623
705	1492	621
706	1493	618
707	1494	616
708	1496	614
709	1497	611
710	1498	609
711	1500	606
712	1501	604
713	1503	602
714	1504	599
715	1505	597
716	1507	594
717	1508	592
718	1510	590
719	1511	587
720	1512	585
721	1515	583
722	1517	581
723	1518	578
724	1520	576
725	1521	574
726	1523	571
727	1524	569
728	1526	567
729	1527	565
730	1529	562
731	1530	560
732	1532	558
733	1533	555
734	1535	553
735	1536	551
736	1537	548
737	1539	546
738	1540	544
739	1541	541
740	1543	539
741	1544	537
742	1546	534
743	1547	532
744	1548	530
745	1550	527
746	1551	525
747	1553	523
748	1554	520
749	1556	518
750	1557	516
751	1558	514
752	1560	511
753	1561	509
754	1563	507
755	1564	504
756	1565	502
757	1566	500
758	1568	497
759	1570	495
760	1571	493
761	1572	491
762	1574	489
763	1577	487
764	1578	485
765	1580	482
766	1581	480
767	1582	478
768	1584	475
769	1585	473
770	1586	471
771	1587	468
772	1589	466
773	1590	464
774	1592	462
775	1594	460
776	1595	457
777	1597	455
778	1598	453
779	1599	451
780	1600	448
781	1602	446
782	1603	444
783	1605	442
784	1606	439
785	1607	437
786	1608	435
787	1610	433
788	1611	431
789	1613	428
790	1614	426
791	1615	424
792	1616	422
793	1618	419
794	1619	417
795	1621	415
796	1622	413
797	1624	411
798	1625	408
799	1626	406
800	1627	404
801	1628	402
802	1629	399
803	1631	397
804	1632	395
805	1633	393
806	1635	391
807	1636	388
808	1638	386
809	1639	384
810	1640	382
811	1642	380
812	1643	378
813	1645	375
814	1646	373
815	1648	371
816	1650	369
817	1651	367
818	1653	365
819	1654	363
820	1655	360
821	1656	358
822	1658	356
823	1659	354
824	1660	352
825	1662	350
826	1663	348
827	1665	345
828	1666	343
829	1667	341
830	1669	339
831	1670	337
832	1672	335
833	1673	333
834	1675	331
835	1676	328
836	1678	326
837	1679	324
838	1681	322
839	1682	320
840	1684	318
841	1685	316
842	1687	314
843	1689	312
844	1690	310
845	1692	308
846	1693	305
847	1694	303
848	1696	301
849	1697	299
850	1699	297
851	1700	295
852	1702	293
853	1703	291
854	1705	289
855	1706	287
856	1708	285
857	1709	283
858	1711	280
859	1712	278
860	1714	276
861	1715	274
862	1716	272
863	1717	270
864	1719	268
865	1720	266
866	1721	264
867	1722	262
868	1724	259
869	1725	257
870	1726	255
871	1727	253
872	1729	251
873	1730	249
874	1732	247
875	1733	245
876	1735	243
877	1736	241
878	1737	239
879	1738	237
880	1739	235
881	1741	232
882	1742	230
883	1743	228
884	1744	226
885	1746	224
886	1747	222
887	1748	220
888	1749	218
889	1751	216
890	1752	214
891	1753	212
892	1754	210
893	1756	208
894	1757	206
895	1759	204
896	1761	202
897	1762	200
898	1763	198
899	1764	196
900	1766	194
901	1768	192
902	1769	190
903	1771	188
904	1772	186
905	1773	184
906	1775	182
907	1776	180
908	1778	178
909	1779	175
910	1780	173
911	1783	172
912	1784	170
913	1786	168
914	1787	166
915	1790	164
916	1791	162
917	1792	160
918	1794	158
919	1795	156
920	1797	154
921	1799	152
922	1800	150
923	1801	148
924	1803	146
925	1804	144
926	1806	142
927	1807	140
928	1809	138
929	1810	136
930	1811	134
931	1812	132
932	1814	130
933	1815	128
934	1816	126
935	1818	124
936	1820	122
937	1822	120
938	1823	118
939	1824	116
940	1826	114
941	1827	112
942	1829	110
943	1830	108
944	1831	106
945	1832	104
946	1833	102
947	1835	100
948	1836	98
949	1837	96
950	1839	94
951	1840	92
952	1841	90
953	1842	88
954	1844	86
955	1845	84
956	1847	82
957	1848	81
958	1849	79
959	1850	77
960	1851	75
961	1853	73
962	1854	71
963	1855	69
964	1856	67
965	1858	65
966	1860	63
967	1862	61
968	1863	59
969	1865	57
970	1866	55
971	1867	53
972	1868	51
973	1870	49
974	1871	47
975	1872	46
976	1873	44
977	1874	42
978	1876	40
979	1877	38
980	1878	36
981	1880	34
982	1881	32
983	1882	30
984	1883	28
985	1884	26
986	1885	24
987	1886	22
988	1888	21
989	1889	19
990	1890	17
991	1891	15
992	1892	13
993	1893	11
994	1894	9
995	1896	7
996	1897	5
997	1898	3
998	1899	1
999	1900	0
